step,actic loss,critic loss,average distance,time
3650,-2.9550,0.7914,4.6504,0min5sec
3660,-2.9498,0.7896,4.6490,0min5sec
3670,-2.9447,0.7878,4.6476,0min5sec
3680,-2.9396,0.7861,4.6461,0min5sec
3690,-2.9346,0.7843,4.6447,0min5sec
3700,-2.9295,0.7826,4.6434,0min5sec
3710,-2.9244,0.7808,4.6420,0min5sec
3720,-2.9194,0.7790,4.6406,0min5sec
3730,-2.9144,0.7773,4.6393,0min5sec
3740,-2.9095,0.7756,4.6381,0min5sec
3750,-2.9046,0.7739,4.6368,0min5sec
3760,-2.8997,0.7722,4.6355,0min5sec
3770,-2.8948,0.7705,4.6341,0min5sec
3780,-2.8899,0.7688,4.6328,0min5sec
3790,-2.8851,0.7672,4.6314,0min5sec
3800,-2.8803,0.7655,4.6302,0min5sec
3810,-2.8755,0.7638,4.6289,0min5sec
3820,-2.8708,0.7621,4.6277,0min5sec
3830,-2.8661,0.7605,4.6264,0min5sec
3840,-2.8614,0.7589,4.6251,0min5sec
3850,-2.8569,0.7573,4.6239,0min5sec
3860,-2.8522,0.7557,4.6226,0min5sec
3870,-2.8476,0.7540,4.6214,0min5sec
3880,-2.8430,0.7525,4.6201,0min5sec
3890,-2.8384,0.7509,4.6188,0min5sec
3900,-2.8338,0.7493,4.6175,0min5sec
3910,-2.8294,0.7477,4.6164,0min5sec
3920,-2.8249,0.7462,4.6151,0min5sec
3930,-2.8204,0.7446,4.6139,0min5sec
3940,-2.8158,0.7431,4.6127,0min5sec
3950,-2.8115,0.7416,4.6114,0min5sec
3960,-2.8071,0.7400,4.6102,0min5sec
3970,-2.8026,0.7385,4.6089,0min5sec
3980,-2.7982,0.7370,4.6077,0min5sec
3990,-2.7938,0.7355,4.6065,0min5sec
4000,-2.7894,0.7339,4.6053,0min5sec
4010,-2.7851,0.7325,4.6042,0min5sec
4020,-2.7806,0.7310,4.6031,0min5sec
4030,-2.7764,0.7296,4.6019,0min5sec
4040,-2.7720,0.7281,4.6007,0min5sec
4050,-2.7678,0.7266,4.5996,0min5sec
4060,-2.7635,0.7251,4.5984,0min5sec
4070,-2.7593,0.7237,4.5972,0min5sec
4080,-2.7551,0.7222,4.5960,0min5sec
4090,-2.7509,0.7208,4.5948,0min5sec
4100,-2.7468,0.7193,4.5937,0min5sec
4110,-2.7427,0.7179,4.5926,0min5sec
4120,-2.7388,0.7165,4.5914,0min5sec
4130,-2.7346,0.7150,4.5903,0min5sec
4140,-2.7306,0.7136,4.5891,0min5sec
4150,-2.7266,0.7122,4.5880,0min5sec
4160,-2.7226,0.7108,4.5869,0min5sec
4170,-2.7186,0.7094,4.5858,0min5sec
4180,-2.7146,0.7080,4.5848,0min5sec
4190,-2.7106,0.7067,4.5838,0min5sec
4200,-2.7067,0.7053,4.5827,0min5sec
4210,-2.7027,0.7040,4.5816,0min5sec
4220,-2.6988,0.7026,4.5805,0min5sec
4230,-2.6949,0.7012,4.5794,0min5sec
4240,-2.6911,0.6999,4.5784,0min5sec
4250,-2.6872,0.6985,4.5773,0min5sec
4260,-2.6834,0.6972,4.5762,0min5sec
4270,-2.6796,0.6959,4.5752,0min5sec
4280,-2.6757,0.6946,4.5741,0min5sec
4290,-2.6721,0.6932,4.5731,0min5sec
4300,-2.6682,0.6919,4.5720,0min5sec
4310,-2.6646,0.6906,4.5710,0min5sec
4320,-2.6608,0.6893,4.5700,0min5sec
4330,-2.6571,0.6880,4.5689,0min5sec
4340,-2.6534,0.6867,4.5678,0min5sec
4350,-2.6497,0.6854,4.5667,0min5sec
4360,-2.6459,0.6842,4.5657,0min5sec
4370,-2.6423,0.6829,4.5647,0min5sec
4380,-2.6387,0.6817,4.5637,0min5sec
4390,-2.6350,0.6804,4.5627,0min5sec
4400,-2.6314,0.6792,4.5618,0min5sec
4410,-2.6279,0.6779,4.5608,0min5sec
4420,-2.6243,0.6767,4.5598,0min5sec
4430,-2.6208,0.6755,4.5588,0min5sec
4440,-2.6173,0.6742,4.5578,0min5sec
4450,-2.6138,0.6730,4.5568,0min5sec
4460,-2.6103,0.6718,4.5558,0min5sec
4470,-2.6068,0.6706,4.5549,0min5sec
4480,-2.6033,0.6694,4.5539,0min5sec
4490,-2.5999,0.6682,4.5530,0min5sec
4500,-2.5964,0.6670,4.5520,0min5sec
4510,-2.5930,0.6659,4.5511,0min5sec
4520,-2.5896,0.6647,4.5502,0min5sec
4530,-2.5862,0.6635,4.5492,0min5sec
4540,-2.5828,0.6623,4.5483,0min5sec
4550,-2.5795,0.6612,4.5473,0min5sec
4560,-2.5762,0.6600,4.5463,0min5sec
4570,-2.5728,0.6588,4.5453,0min5sec
4580,-2.5694,0.6577,4.5444,0min5sec
4590,-2.5661,0.6565,4.5434,0min5sec
4600,-2.5627,0.6554,4.5425,0min5sec
4610,-2.5595,0.6543,4.5416,0min5sec
4620,-2.5562,0.6532,4.5407,0min5sec
